Language,Text
Adyghe,Сэ шІу усэлъэгъу
Afrikaans,Ek's lief vir jou
Albanian (Gheg),Të dua
Aleut,Txin yaxtakuq
Alsatian,Ich hàbb dir lïab
Altay,Мен сени сӱӱп jадым 
Amharic,አፈቅርሀለሁ። 
Arabic, ٲنَا بحِبَّك
Aragonese,T'aimo
Arapaho,Biixoo3é3en
Armenian,Սիրում եմ քեզ
Aromanian,Ti voi
Assamese,মই আপোনাক ভালপাওঁ
Asturian,Quiérote
Atikamekw,Ki micta sakihitin
Aymara,Munsmawa
Azerbaijani,Mən səni sevirəm
Balinese,Titiyang tresna sareng ragane
Bambara,M'bi fe
Bashkir,мин һине яратам
Basque,Maite zaitut
Bavarian,I liab di
Belarusian,Я цябе кахаю 
Bemba,Niwe natemwa
Bengali,আমি আপনাকে ভালোবাসি।
Bete (Daloa),Djiba han djibameu ba
Bhojpuri,हम तोहसे प्यार करेनी 
Bikol,Namumùtan taka
Bosnian,Volim te
Breton,Karout a ran ac'hanout
Bulgarian,Обичам те 
Burmese,cha-nor kin-mya go chit-teh 
Catalan,T'estimo
Cayuga,Go-nóhkwa
Chichewa,Ndimakukonda
Cape Verdean Creole,Nta amabo
Cebuano,Gihigugma ko ikaw
Central Dusun,Oupus oku diya
Chabacano de Cavite,Ta ama yo cuntigo
Chabacano de Zamboanga,Ama yo contigo
Cham (Western),Ai ranam dai
Chamorro,Hu guiaya hao
Chechen,Суна хьо дукха веза 
Cherokee,ᎬᎨᏳᎢ 
Cheyenne,Nemehotȧtse
Chinese,我愛你 
Choctaw,Chi hollo li
Chuukese,Ai tong ngonuk 
Chuvash,Эпĕ сана юрататăп
Cimbrian,Ich liibe-dich
Coastal Kadazan,Guminavo zou diau
Cornish,My a'th kar
Corsican,Ti tengu caru 
Creek,Ecenokecis
Croatian,Volim te
Crow,Diiawachisshik
Cuyonon,Inggegegman ta kaw
Czech,Miluji tě 
Danish,Jeg elsker dig
Dholuo,Aheri
Dungan (Gansu dialect),Вә э ни 
Dutch,Ik hou van je 
Efik,Mme ama fi
Elfdalian,Ig tyttjer um dig
Estonian,Ma armastan sind
Ewe,Me lↄ wo
Extremaduran,Te quieru
Faroese,Eg elski teg
Fijian,Au domoni iko
Finnish,Mä rakastan sua 
Frisian (North - Mooring),Ik hääw de liif
Frisian (Saterland),Iek hääb die ljoo
Frisian (West),Ik hâld fan dy
French,Je t'aime
Friulian,Ti vuei ben
Galician,Ámote
Gascon,Que t'aimi
Georgian,მე შენ მიყვარხარ 
German,Ich liebe dich
Greek (Ancient),Σε φιλῶ 
Greek (Modern),Σ΄αγαπώ 
Greenlandic,Asavakkit
Guaraní,Rojhayhû
Gujarati,હું તને પ્રેમ કરુ છું 
Gwich'in,Neet'ihthan
Haitian Creole,Mwen renmen w
Hausa,Ina son ka 
Hawaiian,Aloha Au Ia ʻOe
Hebrew,אני אוהב אותך
Hiligaynon,Palangga ko ikaw
Hindi,मैं तुम्हैं बहुत चाहता चाहती हुँ 
Hmong (White),Kuv hlub koj
Hungarian,Szeretlek
Iban,Aku sayau nuan
Icelandic,Ég elska þig
Igbo,A hụrụ m gị n’anya
Iloko,Ayayatenka
Indonesian,Aku cinta kamu
Innu (Montagnais),Tshemenuadeden 
Inuktitut,ᓇᒡᓕᒋᕙᒋᑦ 
Iñupiaq,Nakuaġigikpiñ
Irish (Gaelic),Gráím thú
Italian,Ti amo
Jamaican,Mi luv yuh
Japanese,好きです
Javanese,ꦏꦸꦭꦠꦽꦱ꧀ꦤꦥꦚ꧀ꦗꦼꦤꦼꦁꦔꦤ꧀
Jenesch,Ketta jaan bettu
Jèrriais,J't'aime
Kabyle,Hemmeleɣ-kem
Kalmyk,Би чамд дуртав
Kannada,ನಾ ನಿನ್ನ ಪ್ರೀತಿಸ್ತೀನಿ 
Kapampangan,Kaluguran daka
Kaqchikel,Yatin wajo'
Karelian,Mie šilma šuvačen
Kashmiri,Tske chhuk myon jigur
Kashubian,Kuechum ce
Kazakh,Мен сені сүйемін! 
Khmer,ខ្ញុំ​ស្រលាញ់​អ្នក
Khoekhoe (Nama),Namsi ta ge a
Kikuyu,nĩngwendete
Kinyarwanda,Ndagukunda
Kiribati,I tangiriko
Kokborok,Ang nono hamjakgo
Korean,사랑해 
Kumyk,Мен сизин сюемен
Kurdish (Kurmanji),Ez te hez dikèm 
Kyrgyz,Мен сени сүйөм 
Ladino, טי אמו
Lakota Sioux,Thečhíȟila
Russian,Я люблю тебя

